iter	Passed	Remaining
258	362	1037
259	367	1046
260	368	1043
261	368	1039
262	369	1035
263	370	1031
264	370	1027
265	371	1023
266	371	1019
267	372	1016
268	372	1012
269	373	1008
270	373	1004
271	374	1001
272	374	997
273	375	994
274	375	990
275	382	1002
276	383	1001
277	384	999
278	386	997
279	387	995
280	387	992
281	388	989
282	390	988
283	392	989
284	393	986
285	393	983
286	394	980
287	395	976
288	395	973
289	396	969
290	396	967
291	398	966
292	399	963
293	400	960
294	402	961
295	403	959
296	404	957
297	405	954
298	405	951
299	406	948
300	407	945
301	407	942
302	408	938
303	408	935
304	409	932
305	409	928
306	410	925
307	410	922
308	411	919
309	412	917
310	413	915
311	413	912
312	414	910
313	415	907
314	415	904
315	416	901
316	416	898
317	417	895
318	418	893
319	419	890
320	420	889
321	421	888
322	425	892
323	427	891
324	428	890
325	429	887
326	430	886
327	431	884
328	432	881
329	432	878
330	433	875
331	433	872
332	434	869
333	435	868
334	436	867
335	437	864
336	437	861
337	438	858
338	438	855
339	439	852
340	439	850
341	440	847
342	440	844
343	441	841
344	442	840
345	444	839
346	445	838
347	446	835
348	446	833
349	447	831
350	448	828
351	448	826
352	449	823
353	449	820
354	450	818
355	451	815
356	451	813
357	452	810
358	452	808
359	453	805
360	453	803
361	454	800
362	454	798
363	455	796
364	457	795
365	458	793
366	458	791
367	459	789
368	460	787
369	461	785
370	462	783
371	462	781
372	463	778
373	463	776
374	464	773
375	465	772
376	466	770
377	469	772
378	470	770
379	470	768
380	471	765
381	471	763
382	472	761
383	472	758
384	473	756
385	474	754
386	474	751
387	475	749
388	475	747
389	476	745
390	477	743
391	477	740
392	478	739
393	481	740
394	484	741
395	486	741
396	486	739
397	487	738
398	489	736
399	491	736
400	491	734
401	492	732
402	494	731
403	495	730
404	495	728
405	496	726
406	497	725
407	500	726
408	509	735
409	511	736
410	512	734
411	513	733
412	514	731
413	515	729
414	517	729
415	519	728
416	519	726
417	520	724
418	520	721
419	521	719
420	522	717
421	522	715
422	523	713
423	523	711
424	526	711
425	528	712
426	535	718
427	536	717
428	537	715
429	538	713
430	538	711
431	539	709
432	541	709
433	542	707
434	543	705
435	543	703
436	544	701
437	544	699
438	545	697
439	546	695
440	546	693
441	547	691
442	549	691
443	550	689
444	551	687
445	552	685
446	552	684
447	553	682
448	554	680
449	555	678
450	555	676
451	556	674
452	557	672
453	557	670
454	558	668
455	558	666
456	559	664
457	559	662
458	560	660
459	561	658
460	561	656
461	562	654
462	562	652
463	563	650
464	564	649
465	565	648
466	567	647
467	568	646
468	569	644
469	569	642
470	569	640
471	570	638
472	570	635
473	571	633
474	571	631
475	572	629
476	572	627
477	573	625
478	573	623
479	575	623
480	576	621
481	577	620
482	578	619
483	580	618
484	581	617
